• Tipo Símbolo: <Program>, línea: 2, Atributo: class 
• Tipo Símbolo: <reservedW>, línea: 2, Atributo: Program 
• Tipo Símbolo: <operadores>, línea: 2, Atributo: { 
• Tipo Símbolo: <signos>, línea: 3, Atributo: int 
• Tipo Símbolo: <intLiteral>, línea: 3, Atributo: x55 
• Tipo Símbolo: <operadores>, línea: 3, Atributo: ; 
• Tipo Símbolo: <signos>, línea: 4, Atributo: int 
• Tipo Símbolo: <intLiteral>, línea: 4, Atributo: y 
• Tipo Símbolo: <operadores>, línea: 4, Atributo: [ 
• Tipo Símbolo: <stringLiteral>, línea: 4, Atributo: 5 
• Tipo Símbolo: <operadores>, línea: 4, Atributo: ] 
• Tipo Símbolo: <operadores>, línea: 4, Atributo: ; 
• Tipo Símbolo: <signos>, línea: 5, Atributo: int 
• Tipo Símbolo: <intLiteral>, línea: 5, Atributo: numeros 
• Tipo Símbolo: <operadores>, línea: 5, Atributo: ; 
• Tipo Símbolo: <signos>, línea: 7, Atributo: int 
• Tipo Símbolo: <intLiteral>, línea: 7, Atributo: funcionX 
• Tipo Símbolo: <operadores>, línea: 7, Atributo: ( 
• Tipo Símbolo: <operadores>, línea: 7, Atributo: ) 
• Tipo Símbolo: <operadores>, línea: 7, Atributo: { 
• Tipo Símbolo: <intLiteral>, línea: 9, Atributo: x 
• Tipo Símbolo: <equalityOperatos>, línea: 9, Atributo: = 
• Tipo Símbolo: <operadores>, línea: 9, Atributo: ; 
• Tipo Símbolo: <operadores>, línea: 10, Atributo: } 
• Tipo Símbolo: <signos>, línea: 12, Atributo: void 
• Tipo Símbolo: <intLiteral>, línea: 12, Atributo: main 
• Tipo Símbolo: <operadores>, línea: 12, Atributo: ( 
• Tipo Símbolo: <operadores>, línea: 12, Atributo: ) 
• Tipo Símbolo: <operadores>, línea: 12, Atributo: { 
• Tipo Símbolo: <signos>, línea: 13, Atributo: if 
• Tipo Símbolo: <operadores>, línea: 13, Atributo: ( 
• Tipo Símbolo: <intLiteral>, línea: 13, Atributo: x 
• Tipo Símbolo: <equalityOperatos>, línea: 13, Atributo: > 
• Tipo Símbolo: <stringLiteral>, línea: 13, Atributo: 0 
• Tipo Símbolo: <operadores>, línea: 13, Atributo: ) 
• Tipo Símbolo: <operadores>, línea: 13, Atributo: { 
• Tipo Símbolo: <intLiteral>, línea: 14, Atributo: x 
• Tipo Símbolo: <conditionOperators>, línea: 14, Atributo: += 
• Tipo Símbolo: <stringLiteral>, línea: 14, Atributo: 1 
• Tipo Símbolo: <operadores>, línea: 14, Atributo: ; 
• Tipo Símbolo: <intLiteral>, línea: 15, Atributo: numeros 
• Tipo Símbolo: <equalityOperatos>, línea: 15, Atributo: = 
• Tipo Símbolo: <operadores>, línea: 15, Atributo: ; 
• Tipo Símbolo: <intLiteral>, línea: 16, Atributo: boolNuevo 
• Tipo Símbolo: <equalityOperatos>, línea: 16, Atributo: = 
• Tipo Símbolo: <stringLiteral>, línea: 16, Atributo: 5 
• Tipo Símbolo: <operadores>, línea: 16, Atributo: ; 
• Tipo Símbolo: <operadores>, línea: 17, Atributo: } 
• Tipo Símbolo: <signos>, línea: 18, Atributo: return 
• Tipo Símbolo: <operadores>, línea: 18, Atributo: ; 
• Tipo Símbolo: <operadores>, línea: 19, Atributo: } 
• Tipo Símbolo: <operadores>, línea: 20, Atributo: } 
