• Tipo Símbolo: <class>, línea: 1, Atributo: class 
• Tipo Símbolo: <Program>, línea: 1, Atributo: Program 
• Tipo Símbolo: <signos>, línea: 1, Atributo: { 
• Tipo Símbolo: <type>, línea: 3, Atributo: int 
• Tipo Símbolo: <id>, línea: 3, Atributo: x 
• Tipo Símbolo: <signos>, línea: 3, Atributo: , 
• Tipo Símbolo: <id>, línea: 3, Atributo: y 
• Tipo Símbolo: <signos>, línea: 3, Atributo: ; 
• Tipo Símbolo: <type>, línea: 4, Atributo: int 
• Tipo Símbolo: <id>, línea: 4, Atributo: result 
• Tipo Símbolo: <type>, línea: 5, Atributo: boolean 
• Tipo Símbolo: <id>, línea: 5, Atributo: verificar 
• Tipo Símbolo: <signos>, línea: 5, Atributo: ; 
• Tipo Símbolo: <type>, línea: 7, Atributo: int 
• Tipo Símbolo: <id>, línea: 7, Atributo: suma 
• Tipo Símbolo: <signos>, línea: 7, Atributo: ( 
• Tipo Símbolo: <signos>, línea: 7, Atributo: ) 
• Tipo Símbolo: <signos>, línea: 7, Atributo: { 
• Tipo Símbolo: <id>, línea: 8, Atributo: x 
• Tipo Símbolo: <operadores>, línea: 8, Atributo: = 
• Tipo Símbolo: <stringLiteral>, línea: 8, Atributo: 10 
• Tipo Símbolo: <signos>, línea: 8, Atributo: ; 
• Tipo Símbolo: <id>, línea: 9, Atributo: y 
• Tipo Símbolo: <operadores>, línea: 9, Atributo: = 
• Tipo Símbolo: <intLiteral>, línea: 9, Atributo: 3 
• Tipo Símbolo: <id>, línea: 10, Atributo: result 
• Tipo Símbolo: <operadores>, línea: 10, Atributo: = 
• Tipo Símbolo: <id>, línea: 10, Atributo: x 
• Tipo Símbolo: <operadores>, línea: 10, Atributo: + 
• Tipo Símbolo: <id>, línea: 10, Atributo: y 
• Tipo Símbolo: <signos>, línea: 10, Atributo: ; 
• Tipo Símbolo: <signos>, línea: 11, Atributo: } 
• Tipo Símbolo: <reservedW>, línea: 13, Atributo: void 
• Tipo Símbolo: <id>, línea: 13, Atributo: main 
• Tipo Símbolo: <signos>, línea: 13, Atributo: ( 
• Tipo Símbolo: <signos>, línea: 13, Atributo: ) 
• Tipo Símbolo: <signos>, línea: 13, Atributo: { 
• Tipo Símbolo: <reservedW>, línea: 15, Atributo: if 
• Tipo Símbolo: <signos>, línea: 15, Atributo: ( 
• Tipo Símbolo: <id>, línea: 15, Atributo: y 
• Tipo Símbolo: <operadores>, línea: 15, Atributo: > 
• Tipo Símbolo: <id>, línea: 15, Atributo: x 
• Tipo Símbolo: <signos>, línea: 15, Atributo: ) 
• Tipo Símbolo: <signos>, línea: 15, Atributo: { 
• Tipo Símbolo: <id>, línea: 16, Atributo: verificar 
• Tipo Símbolo: <operadores>, línea: 16, Atributo: = 
• Tipo Símbolo: <stringLiteral>, línea: 16, Atributo: true 
• Tipo Símbolo: <signos>, línea: 16, Atributo: ; 
• Tipo Símbolo: <signos>, línea: 17, Atributo: } 
• Tipo Símbolo: <signos>, línea: 19, Atributo: } 
• Tipo Símbolo: <signos>, línea: 20, Atributo: } 
