• Tipo Símbolo: <class>, línea: 2, Atributo: class 
• Tipo Símbolo: <Program>, línea: 2, Atributo: Program 
• Tipo Símbolo: <signos>, línea: 2, Atributo: { 
• Tipo Símbolo: <type>, línea: 3, Atributo: int 
• Tipo Símbolo: <id>, línea: 3, Atributo: x55 
• Tipo Símbolo: <signos>, línea: 3, Atributo: ; 
• Tipo Símbolo: <type>, línea: 4, Atributo: int 
• Tipo Símbolo: <id>, línea: 4, Atributo: y 
• Tipo Símbolo: <signos>, línea: 4, Atributo: ; 
• Tipo Símbolo: <type>, línea: 5, Atributo: int 
• Tipo Símbolo: <id>, línea: 5, Atributo: numeros 
• Tipo Símbolo: <signos>, línea: 5, Atributo: ; 
• Tipo Símbolo: <type>, línea: 7, Atributo: int 
• Tipo Símbolo: <id>, línea: 7, Atributo: funcionX 
• Tipo Símbolo: <signos>, línea: 7, Atributo: ( 
• Tipo Símbolo: <signos>, línea: 7, Atributo: ) 
• Tipo Símbolo: <signos>, línea: 7, Atributo: { 
• Tipo Símbolo: <id>, línea: 9, Atributo: x 
• Tipo Símbolo: <assignOperators>, línea: 9, Atributo: = 
• Tipo Símbolo: <signos>, línea: 10, Atributo: } 
• Tipo Símbolo: <reservedW>, línea: 12, Atributo: void 
• Tipo Símbolo: <id>, línea: 12, Atributo: main 
• Tipo Símbolo: <signos>, línea: 12, Atributo: ( 
• Tipo Símbolo: <signos>, línea: 12, Atributo: ) 
• Tipo Símbolo: <signos>, línea: 12, Atributo: { 
• Tipo Símbolo: <reservedW>, línea: 13, Atributo: if 
• Tipo Símbolo: <signos>, línea: 13, Atributo: ( 
• Tipo Símbolo: <id>, línea: 13, Atributo: x 
• Tipo Símbolo: <operadores>, línea: 13, Atributo: > 
• Tipo Símbolo: <intLiteral>, línea: 13, Atributo: 0 
• Tipo Símbolo: <signos>, línea: 13, Atributo: ) 
• Tipo Símbolo: <signos>, línea: 13, Atributo: { 
• Tipo Símbolo: <id>, línea: 14, Atributo: x 
• Tipo Símbolo: <assignOperators>, línea: 14, Atributo: += 
• Tipo Símbolo: <intLiteral>, línea: 14, Atributo: 1 
• Tipo Símbolo: <signos>, línea: 14, Atributo: ; 
• Tipo Símbolo: <id>, línea: 15, Atributo: numeros 
• Tipo Símbolo: <assignOperators>, línea: 15, Atributo: = 
• Tipo Símbolo: <signos>, línea: 15, Atributo: ; 
• Tipo Símbolo: <id>, línea: 16, Atributo: boolNuevo 
• Tipo Símbolo: <assignOperators>, línea: 16, Atributo: = 
• Tipo Símbolo: <stringLiteral>, línea: 16, Atributo: 5 
• Tipo Símbolo: <signos>, línea: 16, Atributo: ; 
• Tipo Símbolo: <reservedW>, línea: 18, Atributo: return 
• Tipo Símbolo: <signos>, línea: 18, Atributo: ; 
• Tipo Símbolo: <signos>, línea: 19, Atributo: } 
• Tipo Símbolo: <signos>, línea: 20, Atributo: } 
