• Tipo Símbolo: <class>, línea: 1, Atributo: class 
• Tipo Símbolo: <Program>, línea: 1, Atributo: Program 
• Tipo Símbolo: <signos>, línea: 1, Atributo: { 
• Tipo Símbolo: <type>, línea: 3, Atributo: int 
• Tipo Símbolo: <id>, línea: 3, Atributo: x 
• Tipo Símbolo: <signos>, línea: 3, Atributo: , 
• Tipo Símbolo: <id>, línea: 3, Atributo: y 
• Tipo Símbolo: <signos>, línea: 3, Atributo: , 
• Tipo Símbolo: <id>, línea: 3, Atributo: z 
• Tipo Símbolo: <signos>, línea: 3, Atributo: ; 
• Tipo Símbolo: <type>, línea: 4, Atributo: boolean 
• Tipo Símbolo: <id>, línea: 4, Atributo: verificar 
• Tipo Símbolo: <signos>, línea: 4, Atributo: ; 
• Tipo Símbolo: <type>, línea: 6, Atributo: int 
• Tipo Símbolo: <id>, línea: 6, Atributo: suma 
• Tipo Símbolo: <signos>, línea: 6, Atributo: ( 
• Tipo Símbolo: <signos>, línea: 6, Atributo: ) 
• Tipo Símbolo: <signos>, línea: 6, Atributo: { 
• Tipo Símbolo: <id>, línea: 7, Atributo: x 
• Tipo Símbolo: <assignOperators>, línea: 7, Atributo: = 
• Tipo Símbolo: <intLiteral>, línea: 7, Atributo: 10 
• Tipo Símbolo: <signos>, línea: 7, Atributo: ; 
• Tipo Símbolo: <id>, línea: 8, Atributo: y 
• Tipo Símbolo: <assignOperators>, línea: 8, Atributo: = 
• Tipo Símbolo: <intLiteral>, línea: 8, Atributo: 3 
• Tipo Símbolo: <signos>, línea: 8, Atributo: ; 
• Tipo Símbolo: <id>, línea: 9, Atributo: result 
• Tipo Símbolo: <assignOperators>, línea: 9, Atributo: = 
• Tipo Símbolo: <id>, línea: 9, Atributo: x 
• Tipo Símbolo: <operadores>, línea: 9, Atributo: + 
• Tipo Símbolo: <id>, línea: 9, Atributo: y 
• Tipo Símbolo: <signos>, línea: 9, Atributo: ; 
• Tipo Símbolo: <signos>, línea: 10, Atributo: } 
• Tipo Símbolo: <reservedW>, línea: 12, Atributo: void 
• Tipo Símbolo: <id>, línea: 12, Atributo: main 
• Tipo Símbolo: <signos>, línea: 12, Atributo: ( 
• Tipo Símbolo: <signos>, línea: 12, Atributo: ) 
• Tipo Símbolo: <signos>, línea: 12, Atributo: { 
• Tipo Símbolo: <reservedW>, línea: 14, Atributo: if 
• Tipo Símbolo: <signos>, línea: 14, Atributo: ( 
• Tipo Símbolo: <id>, línea: 14, Atributo: y 
• Tipo Símbolo: <operadores>, línea: 14, Atributo: + 
• Tipo Símbolo: <id>, línea: 14, Atributo: x 
• Tipo Símbolo: <signos>, línea: 14, Atributo: ) 
• Tipo Símbolo: <signos>, línea: 14, Atributo: { 
• Tipo Símbolo: <id>, línea: 15, Atributo: verificar 
• Tipo Símbolo: <assignOperators>, línea: 15, Atributo: = 
• Tipo Símbolo: <stringLiteral>, línea: 15, Atributo: false 
• Tipo Símbolo: <signos>, línea: 15, Atributo: ; 
• Tipo Símbolo: <signos>, línea: 16, Atributo: } 
• Tipo Símbolo: <reservedW>, línea: 18, Atributo: if 
• Tipo Símbolo: <signos>, línea: 18, Atributo: ( 
• Tipo Símbolo: <id>, línea: 18, Atributo: y 
• Tipo Símbolo: <operadores>, línea: 18, Atributo: < 
• Tipo Símbolo: <id>, línea: 18, Atributo: x 
• Tipo Símbolo: <signos>, línea: 18, Atributo: ) 
• Tipo Símbolo: <signos>, línea: 18, Atributo: { 
• Tipo Símbolo: <id>, línea: 19, Atributo: verificar 
• Tipo Símbolo: <assignOperators>, línea: 19, Atributo: = 
• Tipo Símbolo: <stringLiteral>, línea: 19, Atributo: true 
• Tipo Símbolo: <signos>, línea: 19, Atributo: ; 
• Tipo Símbolo: <signos>, línea: 20, Atributo: } 
• Tipo Símbolo: <signos>, línea: 21, Atributo: } 
• Tipo Símbolo: <signos>, línea: 23, Atributo: } 
